P,M,Q,N_Tx,N_Rx,D_t,D_f,D_tx,D_rx,r_t,r_f,mse_exact,nmse_exact,max_abs_err_exact,mse_hybrid,nmse_hybrid,max_abs_err_hybrid,runtime_soce_s,runtime_exact_alpha_s,runtime_exact_recon_s,runtime_exact_total_s,runtime_hybrid_alpha_s,runtime_hybrid_recon_s,runtime_hybrid_total_s
10,256,64,4,4,6,9,4,4,2,512,8.69519168455834e-10,6.88748552121377e-10,0.000102637077275872,2.17073431518461e-07,1.71944468950432e-07,0.00148511911167735,0.064744,0.017141,0.024341,0.041482,0.051615,0.012501,0.064116
20,256,64,4,4,6,9,4,4,2,512,1.14960315658827e-08,2.43722493183673e-08,0.000286118347640117,3.45977233860353e-07,7.33491670912627e-07,0.00245708573927127,0.057894,0.004569,0.014065,0.018634,0.007484,0.002803,0.010287
40,256,64,4,4,6,9,4,4,2,512,1.87600086872501e-08,2.60558158793031e-08,0.00036354867054536,1.64711947926857e-07,2.28768774036886e-07,0.00222410698391214,0.114266,0.005752,0.006832,0.012584,0.007107,0.001793,0.0089
80,256,64,4,4,6,9,4,4,2,512,1.15269543295918e-08,3.09779542775511e-08,0.000361870711709197,1.53268410946344e-07,4.11899075048811e-07,0.00199237999951911,0.213816,0.010474,0.006123,0.016597,0.013408,0.001912,0.01532
160,256,64,4,4,6,9,4,4,2,512,4.52207291894826e-09,9.29927600040773e-09,0.000210243319325603,1.80480996888354e-07,3.71144524419541e-07,0.00175442136466709,0.3742,0.02353,0.009713,0.033243,0.027842,0.003895,0.031737
320,256,64,4,4,6,9,4,4,2,512,7.11043186353012e-09,4.17980125104395e-08,0.000290109769119659,1.19438486381169e-07,7.02108035602428e-07,0.00125850136286031,0.799464,0.036927,0.007587,0.044514,0.04585,0.001431,0.047281
