d,lambda_d,inside_paper_essential_subspace,M0,M,nu_Dmax,D_prime
0,0.999942812565373,1,0,256,0.0078125,5
1,0.997563208559859,1,0,256,0.0078125,5
2,0.959401805547727,1,0,256,0.0078125,5
3,0.721768470318507,1,0,256,0.0078125,5
4,0.274652040794866,1,0,256,0.0078125,5
5,0.0430015740632516,0,0,256,0.0078125,5
6,0.00347563389042992,0,0,256,0.0078125,5
7,0.000186768007243151,0,0,256,0.0078125,5
8,7.44871018781151e-06,0,0,256,0.0078125,5
9,2.31628951474078e-07,0,0,256,0.0078125,5
