experiment,P,seed,timing_repeat,mse_exact,nmse_exact,max_abs_err_exact,mse_approx_4d,nmse_approx_4d,max_abs_err_approx_4d,mse_hybrid,nmse_hybrid,max_abs_err_hybrid,runtime_soce_s,runtime_exact_alpha_s,runtime_exact_recon_s,runtime_exact_total_s,runtime_approx_4d_alpha_s,runtime_approx_4d_recon_s,runtime_approx_4d_total_s,runtime_hybrid_alpha_s,runtime_hybrid_recon_s,runtime_hybrid_total_s,num_seeds,num_timing_repeats,basis_runtime_included,matlab_version
nmse,10,1,NaN,8.69519168455834e-10,6.88748552121377e-10,0.000102637077275872,5.42301089908254e-05,4.29558201863984e-05,0.0187674380014248,2.17073431518461e-07,1.71944468950432e-07,0.00148511911167735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,2,NaN,1.92477590440773e-09,1.35180793126698e-09,0.000129945399800711,4.09389156194177e-05,2.87522047138406e-05,0.0178189437383437,3.2652359874846e-07,2.29323938191043e-07,0.00158257941181728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,3,NaN,2.51770475169153e-09,1.96249234256211e-09,0.000162560494230337,3.60700471372326e-05,2.81157634766804e-05,0.0189876482059886,1.1906224627157e-07,9.28062539657261e-08,0.000984033805703304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,4,NaN,2.03689251085328e-08,1.32046986388519e-08,0.000415042534137284,0.000106106873492102,6.87866090384442e-05,0.024500602030338,2.83396317649497e-07,1.8371921689448e-07,0.00197178201153526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,5,NaN,6.31383229734436e-09,5.56413151682794e-09,0.000237631125379423,9.01060515963382e-05,7.94069113547704e-05,0.0188219227883552,1.46467893646326e-07,1.29076381009313e-07,0.00124563957458492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,6,NaN,5.32310528552824e-09,2.66759243683836e-09,0.000239929527755632,0.00011261083942997,5.64331921794021e-05,0.029329033572337,3.7784850410398e-07,1.89352973077338e-07,0.00240099428477812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,7,NaN,1.33165614317404e-08,1.92630194072627e-08,0.000486218796992054,8.06555997097037e-05,0.000116672039585926,0.0199241595347578,2.45947125357965e-07,3.55773843962341e-07,0.00159718472071035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,8,NaN,8.27311659453642e-10,1.15449633318679e-09,0.000116244593858608,8.5615195322282e-05,0.000119474236746428,0.0217690604079325,9.65188463633126e-08,1.34690056566412e-07,0.00120835461210683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,9,NaN,3.21663865746612e-09,5.72379002019196e-09,0.000156669250272111,6.47307566197151e-05,0.000115183984958778,0.0235053727537617,7.83355016793707e-08,1.39392704772229e-07,0.000876263446424036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,10,NaN,1.16297840610884e-08,2.36244217594534e-08,0.000287604532611151,3.86750731632284e-05,7.8563474195781e-05,0.0178202025317392,2.05418786851318e-07,4.17282043449792e-07,0.00186931702505088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,11,NaN,4.44013599455585e-09,7.17675499807134e-09,0.000189855794681966,4.73301413692032e-05,7.650144703841e-05,0.0180302247297464,1.27436499757396e-07,2.05980298281854e-07,0.00103505436055065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,12,NaN,9.79399914634904e-10,1.33948020722902e-09,0.000132062747628097,7.88242110486091e-05,0.000107804247246043,0.021223021432821,2.62060888158835e-07,3.58408620965085e-07,0.00183428546133654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,13,NaN,4.83498978675405e-09,2.56562143562467e-09,0.00023427966275104,4.91369538105383e-05,2.60738548658343e-05,0.0158546741915855,2.00506985210528e-07,1.06396299048641e-07,0.00170629016999483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,14,NaN,1.74724003643333e-09,3.89953630984981e-09,0.000127004477438613,1.12373514960868e-05,2.50798168950998e-05,0.00950163060699692,7.28349235576829e-08,1.62554899793905e-07,0.00101988818238833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,15,NaN,2.86185502951001e-08,6.52590520977174e-08,0.00043053801934454,3.72034088326107e-05,8.48351565745001e-05,0.0177604442257954,1.4263046935127e-07,3.25241115784613e-07,0.00154122238295278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,16,NaN,1.75087843650523e-09,6.43547873334372e-09,0.000178003018648429,7.70904348648429e-05,0.000283351398802515,0.0206890309195729,1.38228907988048e-07,5.08070223005315e-07,0.00179381853065263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,17,NaN,1.04108811852937e-09,1.75568868284423e-09,0.000119747095683152,9.87175862616186e-05,0.000166477117462496,0.0208996962664085,1.31556291855892e-07,2.21856237389983e-07,0.00118669775359667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,18,NaN,3.12601596591693e-09,1.78500743594378e-09,0.000149426200051494,8.50227527497521e-05,4.85494148262292e-05,0.0235914679316627,2.7822549197597e-07,1.58871412513898e-07,0.00170516934852707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,19,NaN,2.39923641011039e-09,2.72882863576164e-09,0.000202940334820255,0.000135874045239254,0.000154539579319151,0.0315151853883468,3.38232339327341e-07,3.84696601471895e-07,0.00258289395488573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,10,20,NaN,2.13625134684073e-09,3.6691654672915e-09,0.000170785511484245,5.44631686710342e-05,9.35444127501956e-05,0.019225124963524,1.41704449280085e-07,2.43387592302271e-07,0.00125861361684076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,20,1,NaN,1.14960315658827e-08,2.43722493183673e-08,0.000286118347640117,7.36324010039392e-05,0.00015610493281037,0.0212432918603402,3.45977233860353e-07,7.33491670912627e-07,0.00245708573927127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,20,2,NaN,2.12991315208527e-10,1.123369348235e-10,5.28875661978394e-05,7.9165945036065e-05,4.17540949923255e-05,0.0181969814809652,3.55714491710211e-07,1.87612699756804e-07,0.00184988794016595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,20,3,NaN,9.4014634352146e-10,1.04198672728358e-09,0.000116613862367243,4.8790469434423e-05,5.40756467532266e-05,0.024723106706651,1.29971036890498e-07,1.44050015515582e-07,0.00109946211887044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,20,4,NaN,1.09373131082983e-09,9.53885485260367e-10,0.000145976220343717,0.000105554849505671,9.20584771098018e-05,0.0244387221608605,2.99568561346293e-07,2.61265358026326e-07,0.00215694084652464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,20,5,NaN,4.9863923190709e-09,5.58490885234058e-09,0.000224594538970347,6.36632296544276e-05,7.13047253634173e-05,0.0199149458017258,1.24236158856666e-07,1.39148221596144e-07,0.00132008847690139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,20,6,NaN,1.01582090924497e-09,7.72969747275302e-10,0.000137861047765353,9.48749061326887e-05,7.21932690582838e-05,0.0255856863904865,3.48791861366111e-07,2.65406583461878e-07,0.00268432869649403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,20,7,NaN,1.09568091164441e-08,1.09229610449506e-08,0.000434565416208974,6.66024748094293e-05,6.63967246402848e-05,0.021053939961795,3.06625317938164e-07,3.05678082700881e-07,0.00154604528693579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,20,8,NaN,2.19526574397357e-09,3.20853417618947e-09,0.000149686950738384,7.30838250402884e-05,0.000106817113605559,0.0223759921201766,1.04133942638422e-07,1.52199028647874e-07,0.00105283946133056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,20,9,NaN,9.6607526852663e-09,8.64168878124992e-09,0.000262866156994628,0.0001375811858005,0.000123068442861238,0.0342777503423157,1.94919483008545e-07,1.74358413307787e-07,0.00164509189681278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,20,10,NaN,3.79110321552791e-09,4.34018548327515e-09,0.000208668114217655,4.00079280513063e-05,4.58024534475822e-05,0.0181213855148628,2.48909625087041e-07,2.84960308393979e-07,0.00245527344103934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,20,11,NaN,1.08064925780219e-08,2.27355448184333e-08,0.00027937522148664,6.8023826450564e-05,0.000143113849736361,0.0243410770249001,1.39165478637137e-07,2.92787225261992e-07,0.00130894719840476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
