selection_mode,target_bias_total,target_bias_per_dimension,D_t,D_f,D_tx,D_rx,D_total,paper_bias_t,paper_bias_f,paper_bias_tx,paper_bias_rx,paper_bias_sum_indicator,nmse_exact_q1,nmse_exact_median,nmse_exact_q3,max_abs_err_exact_median,runtime_alpha_median_s,runtime_reconstruction_median_s,runtime_eigensystems_s,runtime_dimension_selection_s,num_seeds,M,Q,N_Tx,N_Rx,P,nu_Dmax,theta_max
adaptive,0.01,0.0025,1,6,2,2,24,0.000334228738512008,0.000452308266725781,0.000251074734565794,0.000251074734565794,0.00128868647436938,0.000432687951407751,0.000813527929688039,0.00116389012892051,0.0899823818164202,0.0016375,0.0027245,0.151813,0.00411,20,256,64,4,4,80,4.82253086419753e-05,0.0555
adaptive,0.0001,2.5e-05,2,7,3,3,126,8.93899531101742e-09,1.83535452502729e-05,2.43182666540248e-07,2.43182666540248e-07,1.88488495786645e-05,2.62276694406346e-06,8.91974712064906e-06,1.23870417032822e-05,0.0100528516357544,0.0019175,0.0034265,0.151813,0.00411,20,256,64,4,4,80,4.82253086419753e-05,0.0555
adaptive,1e-06,2.5e-07,2,9,3,3,162,8.93899531101742e-09,1.33493703203357e-08,2.43182666540248e-07,2.43182666540248e-07,5.0865369871185e-07,2.24473874394496e-07,3.45511456170361e-07,4.6665311663061e-07,0.00138315992590475,0.0020665,0.0037505,0.151813,0.00411,20,256,64,4,4,80,4.82253086419753e-05,0.0555
adaptive,1e-08,2.5e-09,3,10,4,4,480,1.00375317699969e-13,2.55708783251281e-10,0,0,2.5580915856898e-10,6.64465916602254e-11,1.53198897070769e-10,3.02466487990699e-10,3.14023709860195e-05,0.002852,0.0053385,0.151813,0.00411,20,256,64,4,4,80,4.82253086419753e-05,0.0555
fixed_guard_4,NaN,NaN,6,9,4,4,864,9.67152638724145e-16,1.33493703203357e-08,0,0,1.33493712874883e-08,2.71338137929408e-09,5.20647768916736e-09,9.24688025990515e-09,0.000215048235514131,0.0031215,0.005436,0.151813,0.00411,20,256,64,4,4,80,4.82253086419753e-05,0.0555
