P,M,Q,N_Tx,N_Rx,D_t,D_f,D_tx,D_rx,D_total,r_t,r_f,r_tx,r_rx,nu_Dmax,theta_max,nmse_exact_q1,nmse_exact_median,nmse_exact_q3,nmse_approx_4d_q1,nmse_approx_4d_median,nmse_approx_4d_q3,nmse_hybrid_q1,nmse_hybrid_median,nmse_hybrid_q3,runtime_soce_q1_s,runtime_soce_median_s,runtime_soce_q3_s,runtime_exact_alpha_median_s,runtime_exact_recon_median_s,runtime_exact_total_q1_s,runtime_exact_total_median_s,runtime_exact_total_q3_s,runtime_approx_4d_alpha_median_s,runtime_approx_4d_recon_median_s,runtime_approx_4d_total_q1_s,runtime_approx_4d_total_median_s,runtime_approx_4d_total_q3_s,runtime_hybrid_alpha_median_s,runtime_hybrid_recon_median_s,runtime_hybrid_total_q1_s,runtime_hybrid_total_median_s,runtime_hybrid_total_q3_s,num_seeds,num_timing_repeats,seed,basis_runtime_included,matlab_version
10,256,64,4,4,6,9,4,4,864,2,512,512,512,4.82253086419753e-05,0.0555,1.770348059394e-09,3.19899705152657e-09,6.80611686570753e-09,4.57526175063138e-05,7.89851927752757e-05,0.000115928012272352,1.49132058643064e-07,1.97666635679596e-07,3.40507479873477e-07,0.016007,0.017727,0.019103,0.001347,0.004204,0.005257,0.0056385,0.006891,0.001923,0.005094,0.006021,0.006972,0.007396,0.0016115,0.001498,0.002843,0.0032145,0.003708,20,10,1,0,25.2.0.2998904 (R2025b)
20,256,64,4,4,6,9,4,4,864,2,512,512,512,4.82253086419753e-05,0.0555,1.46328907740661e-09,2.97910493391428e-09,9.62701577784687e-09,5.23420820761066e-05,7.50280478764201e-05,0.000114942778233399,1.60264088897367e-07,2.29335467229214e-07,3.20486139864426e-07,0.03057,0.03124,0.032629,0.0016285,0.0040255,0.005556,0.005685,0.006008,0.002955,0.003761,0.006317,0.0069045,0.006988,0.0023655,0.0011595,0.003522,0.003625,0.003849,20,10,1,0,25.2.0.2998904 (R2025b)
40,256,64,4,4,6,9,4,4,864,2,512,512,512,4.82253086419753e-05,0.0555,2.34137220775888e-09,4.37867548014739e-09,1.10711506824246e-08,5.54600279606008e-05,8.29415551553112e-05,0.000129600462379729,1.71186159032823e-07,2.1434041328417e-07,3.37288398251073e-07,0.05848,0.0597105,0.062652,0.003341,0.004178,0.007301,0.007992,0.008818,0.0060845,0.0039615,0.009399,0.0100565,0.010432,0.005371,0.001273,0.005901,0.0066425,0.006795,20,10,1,0,25.2.0.2998904 (R2025b)
80,256,64,4,4,6,9,4,4,864,2,512,512,512,4.82253086419753e-05,0.0555,1.38548349361583e-09,3.32657799044933e-09,1.05398150057194e-08,4.44433140693561e-05,5.99694205172316e-05,8.3563873270135e-05,1.17232527756094e-07,1.72083660401896e-07,3.55601029295576e-07,0.113741,0.118699,0.123651,0.006119,0.0041105,0.009829,0.0101655,0.01104,0.009807,0.003952,0.013628,0.014102,0.014932,0.008629,0.0013105,0.009789,0.0101555,0.011108,20,10,1,0,25.2.0.2998904 (R2025b)
160,256,64,4,4,6,9,4,4,864,2,512,512,512,4.82253086419753e-05,0.0555,1.87679483373026e-09,4.50191276328298e-09,8.26515150246939e-09,5.36759965041571e-05,7.45758247481583e-05,0.000102641535241378,1.27065968722575e-07,1.87384455187882e-07,2.5452622697438e-07,0.192715,0.2139215,0.227832,0.0118095,0.0042735,0.015513,0.0163375,0.016651,0.0200295,0.0040215,0.023264,0.024137,0.027224,0.0160965,0.0013935,0.017009,0.017863,0.019809,20,10,1,0,25.2.0.2998904 (R2025b)
320,256,64,4,4,6,9,4,4,864,2,512,512,512,4.82253086419753e-05,0.0555,1.93002825728749e-09,5.90136864912175e-09,9.81970797102628e-09,5.17414159349943e-05,6.60405785818367e-05,9.80704708798298e-05,1.42762849672701e-07,1.66707203624145e-07,2.22240582500113e-07,0.407391,0.4170935,0.425533,0.022615,0.0044235,0.026735,0.0275455,0.029673,0.040694,0.0043425,0.043079,0.045604,0.047251,0.0347835,0.001334,0.035289,0.036059,0.038101,20,10,1,0,25.2.0.2998904 (R2025b)
